,cleave,0,1,2,3,4,5,6,7
0,1,16,10,12,10,15,4,17,12
1,1,1,4,2,5,15,8,5,3
2,1,7,10,18,4,1,10,20,10
3,1,17,14,8,11,5,4,17,5
4,1,1,4,4,10,1,4,8,5
5,1,13,5,8,5,4,4,4,13
6,1,13,8,18,6,1,4,17,5
7,1,4,17,17,1,10,18,2,3
8,1,6,6,18,20,1,17,15,16
9,1,3,1,8,12,17,4,5,9
10,1,3,3,10,5,5,4,1,3
11,1,16,5,8,6,11,4,16,1
12,1,13,17,10,10,17,4,1,13
13,1,3,14,8,10,8,4,8,2
14,1,1,14,17,5,20,18,12,10
15,1,14,8,17,10,19,14,15,13
16,1,6,16,7,10,18,4,1,10
17,1,15,4,1,5,15,18,5,3
18,1,20,4,4,5,18,14,11,11
19,1,6,14,18,12,20,4,4,5
20,1,10,13,18,12,6,4,5,16
21,1,4,10,4,5,13,4,6,6
22,1,18,4,18,1,4,4,4,4
23,1,3,17,18,10,4,4,11,16
24,1,6,3,1,10,10,4,15,12
25,-1,1,1,9,5,4,15,14,7
26,-1,11,3,16,16,17,16,1,1
27,-1,16,16,12,20,2,12,14,11
28,-1,17,13,6,16,15,12,10,2
29,-1,6,16,16,9,20,13,12,2
30,-1,4,17,6,16,16,9,20,13
31,-1,10,17,9,3,15,2,9,13
32,-1,15,2,9,6,17,3,18,14
33,-1,16,10,6,12,19,18,2,1
34,-1,13,6,16,15,12,10,2,12
35,-1,18,5,6,15,2,4,10,1
36,-1,12,2,1,9,9,8,18,16
37,-1,12,16,15,19,19,2,12,3
38,-1,16,14,9,12,18,1,2,9
39,-1,2,1,20,9,17,17,14,1
40,-1,16,15,19,19,2,12,3,6
41,-1,1,16,16,16,12,20,2,12
42,-1,2,20,14,16,20,16,17,11
43,-1,1,18,2,16,14,9,12,18
44,-1,6,12,6,11,12,1,19,18
45,-1,1,9,9,8,18,16,3,6
46,-1,15,12,10,17,9,3,15,2
47,-1,16,20,16,17,11,16,8,17
48,-1,2,1,1,9,5,4,16,12
49,-1,2,16,14,9,12,18,1,2
50,-1,14,1,17,12,15,12,17,3
51,-1,8,12,16,15,19,19,2,12
52,-1,20,9,17,17,14,1,12,9
53,-1,2,15,4,17,6,16,16,9
54,-1,18,13,18,7,5,3,1,16
55,-1,4,6,12,13,20,18,13,18
56,-1,18,1,2,4,6,12,13,20
57,-1,6,12,13,20,18,13,18,7
58,-1,11,9,15,7,6,10,3,12
59,-1,12,19,18,2,1,1,9,5
60,-1,1,9,5,4,15,14,7,11
61,-1,14,17,12,2,20,14,16,20
62,-1,16,16,16,12,20,2,12,14
63,-1,13,2,16,1,10,10,16,16
64,-1,18,12,2,1,9,9,8,18
65,-1,6,16,15,12,10,2,12,8
66,-1,12,6,11,12,1,19,18,1
67,-1,7,4,16,10,1,3,18,14
68,-1,3,6,12,6,11,12,1,19
69,-1,17,3,2,15,4,17,6,16
70,-1,6,17,3,18,14,1,19,8
71,-1,17,14,1,12,9,7,8,8
72,-1,12,3,6,15,17,13,6,16
73,-1,5,4,16,12,5,12,17,14
74,-1,1,10,10,16,16,3,8,17
75,-1,2,1,9,9,8,18,16,3
76,-1,16,17,3,20,6,8,10,14
77,-1,17,12,2,20,14,16,20,16
78,-1,13,20,18,13,18,7,5,3
79,-1,16,3,8,17,1,16,18,12
80,-1,2,4,6,12,13,20,18,13
81,-1,15,12,17,3,6,16,17,3
82,-1,20,16,17,11,16,8,17,3
83,-1,9,5,4,16,12,5,12,17
84,-1,7,11,3,16,16,17,16,1
85,-1,9,7,8,8,18,1,2,4
86,-1,3,6,16,17,3,20,6,8
87,-1,5,6,15,2,4,10,1,1
88,-1,12,15,2,9,6,17,3,18
89,-1,4,17,1,1,1,9,5,4
90,-1,15,14,7,11,3,16,16,17
91,-1,20,18,13,18,7,5,3,1
92,-1,9,8,18,16,3,6,12,6
93,-1,2,9,13,18,12,17,5,18
94,-1,16,15,12,10,17,9,3,15
95,-1,12,17,3,6,16,17,3,20
96,-1,6,12,19,18,2,1,1,9
97,-1,17,17,14,1,12,9,7,8
98,-1,14,1,12,9,7,8,8,18
99,-1,19,18,2,1,1,9,5,4
100,-1,12,6,14,17,12,2,20,14
101,-1,10,1,1,1,11,9,15,7
102,-1,13,12,2,1,20,9,17,17
103,-1,7,6,10,3,12,20,15,6
104,-1,17,5,18,7,4,16,10,1
105,-1,16,12,5,12,17,14,1,17
106,-1,8,18,16,3,6,12,6,11
107,-1,17,3,18,14,1,19,8,15
108,-1,2,9,6,17,3,18,14,1
